Agent,Avg Score,Std Score,Min Score,Max Score,Avg Pieces,Avg Tetrominoes,Avg Lines Cleared,Num Eval Games
RANDOM,18.75,3.74,13,26,18.75,18.75,0.00,20
DQN_ORIGINAL,12.45,1.77,9,17,12.45,12.45,0.00,20
DQN,15.60,2.33,12,22,15.60,15.60,0.00,20
GENETIC,41.55,18.98,21,90,26.55,26.55,1.40,20
REINFORCE,18.80,2.99,13,24,18.80,18.80,0.00,20
A2C,17.15,5.60,8,34,16.65,16.65,0.05,20
PPO,21.70,4.63,17,38,21.20,21.20,0.05,20
ES,46984.40,47664.33,5890,184663,8041.40,8041.40,3202.90,20
